Title,Price,Vegetarian,Energy,Fat,Saturates,Carbohydrate,Sugars,Fibre,Protein,Salt
Sainsbury's Indian Pilau Rice 200g (Serves 1) | Sainsbury's,1.25,0,147,2.8,0.3,26.1,0.5,1.9,3.1,0.37
Sainsbury's Indian Lamb Rogan Josh with Pilau Rice 400g (Serves 1) | Sainsbury's,3.25,0,139,5,1.1,15.8,2.5,1.9,6.9,0.43
"Sainsbury's King Prawn Spaghetti with Tomato & Chilli, Taste the Difference 400g (Serves 1) | Sainsbury's",3,0,98,2.7,0.6,12.8,2.9,1.3,5,0.45
Sainsbury's Tomato and Basil Spaghetti 400g (Serves 1) | Sainsbury's,2.5,0,93,2,0.6,14.6,3.4,2,3.1,0.39
Sainsbury's Love Your Veg! Chilli Bean Non Carne & Rice 400g (Serves 1) | Sainsbury's,2.2,0,110,1.5,0.2,18.3,2,3.8,3.7,0.35
Sainsbury's Love Your Veg! Channa Masala & Cauliflower Pilau Rice 400g (Serves 1) | Sainsbury's,2.75,0,118,4.1,0.6,15,2.4,3.9,3.2,0.46
Sainsbury's Love Your Veg! Rainbow Vegetable Stew & Dumplings 400g (Serves 1) | Sainsbury's,2.5,0,92,3.8,1.3,9.9,2.5,4,2.7,0.45
Sainsbury's Butter Chicken & Rice 400g (Serves 1) | Sainsbury's,2.8,0,166,8,3.4,15.7,2.9,1.4,7.1,0.53
Sainsbury's Chicken Dinner 400g | Sainsbury's,2.5,0,65,0.7,0.3,6.6,1.6,1.7,7.1,0.3
Sainsbury's Indian Chicken Balti with Pilau Rice 400g (Serves 1) | Sainsbury's,2.8,0,136,4,0.5,17.1,2.9,2.1,6.8,0.63
Sainsbury's Deliciously Free From Beef Lasagne 400g (Serves 1) | Sainsbury's,3,0,160,6.6,3.6,16.6,1.7,1.7,7.6,0.61
Sainsbury's Deliciously Free From Vegetable Lasagne 400g (Serves 1) | Sainsbury's,3,0,111,2.7,1.2,18.3,2.2,2.2,2.2,0.36
Sainsbury's Classics Lamb Hotpot 400g (Serves 1) | Sainsbury's,2.5,0,113,4.8,1.6,11.4,2.6,0.9,5.7,0.61
