Title,Price,Vegetarian,Energy,Fat,Saturates,Carbohydrate,Sugars,Fibre,Protein,Salt
Chicken & Mushroom Hotpot 450G | Tesco,2.5,FALSE,137,6.1,2,13,2.6,1.1,6.9,0.3
Chicken Jambalaya 385G | Tesco,2.5,FALSE,83,1.3,0.3,9,2.6,2.1,7.7,0.4
Tex Mex Creamy Cajun Chicken & Rice 450G | Tesco,2.5,FALSE,138,4.5,2.3,16.5,2,1.9,7,0.4
Red Thai Curry & Rice 450G | Tesco,2.5,FALSE,138,2.5,1.1,21,1.7,0.8,7.5,0.3
Chinese Chicken Curry & Rice 450G | Tesco,2.5,FALSE,164,6.4,1.2,18.7,2.2,1.9,6.9,0.3
Chicken Chow Mein 400G | Tesco,2.5,FALSE,65,0.6,0.2,8.2,1.9,1.6,6,0.5
Chicken & Black Bean With Rice 450G | Tesco,2.5,FALSE,147,4.8,0.7,18.3,2.6,1.9,6.7,0.4
Sweet & Sour Chicken With Egg Fried Rice 380G | Tesco,2.5,FALSE,100,0.8,0.2,15.5,4.6,1.6,6.9,0.3
Tex Mex Creamy Mustard Chicken 450G | Tesco,2.5,FALSE,140,6.6,2.7,11.8,2.6,1.3,7.8,0.4
Indian Lamb Rogan Rice 450G | Tesco,2.5,FALSE,115,3.1,0.6,15.1,2.5,1.4,6.2,0.5
Indian Prawn Tikka Masala 450G | Tesco,2.5,FALSE,124,5.5,1.6,12.9,2.4,2.7,4.3,0.6
